turbine,x,y
T01F,-719.26,3975.46
T02F,-232.92,3726.91
T03F,208.91,3443.56
T04F,644.94,3170.33
T05F,1083.09,2872.9
T06F,1525.11,2578.16
T07F,1944.74,2405.16
T08F,2338.86,2189.02
T09B,3475.23,-781.91
T10B,3935.95,-903.85
T11B,4382.02,-1046.88
T12B,4809.3,-1230.41
T13B,5289.46,-1400.79
T14B,5674.91,-1663.12
T15B,6091.23,-1868.33
T16B,6477.97,-2108.03
T17E,-2411.51,777.8
T18E,-1821.63,758.31
T19E,-1157.22,709.66
T20E,-712.44,532.59
T21E,-268.85,329.39
T22A,90.62,-785.21
T23A,538.91,-963.81
T24A,992.81,-1116.29
T25A,1437.87,-1292.22
T26A,2027.93,-1409.05
T27A,2429.97,-1671.07
T28A,2851.44,-1930.23
T29D,-6517.83,833.75
T30D,-5953.84,787.67
T31D,-5381.83,746.56
T32D,-4966.53,541.98
T33D,-4551.22,343.74
T34D,-4142.74,132.41
T35D,-3751.94,-103.26
T36D,-3371.46,-364.54
T37C,-2955.61,-555.38
T38C,-2601.48,-929.64
T39C,-2225.88,-1251.18
T40C,-1805.42,-1482.26
T41C,-1345.07,-1707.97
T42C,-901.76,-1998.64
T43C,-454.85,-2291.29
