turbine,x,y
T01,0.0,0.0
T02,630.0,0.0
T03,1260.0,0.0
T04,1890.0,0.0
T05,2520.0,0.0
T06,3150.0,0.0
T07,3780.0,0.0
T08,4410.0,0.0
T09,5040.0,0.0
T10,5670.0,0.0
T11,6300.0,0.0
T12,0.0,504.0
T13,630.0,504.0
T14,1260.0,504.0
T15,1890.0,504.0
T16,2520.0,504.0
T17,3150.0,504.0
T18,3780.0,504.0
T19,4410.0,504.0
T20,5040.0,504.0
T21,5670.0,504.0
T22,6300.0,504.0
T23,0.0,1008.0
T24,630.0,1008.0
T25,1260.0,1008.0
T26,1890.0,1008.0
T27,2520.0,1008.0
T28,3150.0,1008.0
T29,3780.0,1008.0
T30,4410.0,1008.0
T31,5040.0,1008.0
T32,5670.0,1008.0
T33,6300.0,1008.0
T34,0.0,1512.0
T35,630.0,1512.0
T36,1260.0,1512.0
T37,1890.0,1512.0
T38,2520.0,1512.0
T39,3150.0,1512.0
T40,3780.0,1512.0
T41,4410.0,1512.0
T42,5040.0,1512.0
T43,5670.0,1512.0
