wind_speed_mps,power_kw
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,1.8775815865154644
4.0,14.981228442000061
4.5,50.2028327551049
5.0,117.36603285634584
5.5,224.09817201066247
6.0,374.50070978359867
6.5,567.9342734503148
7.0,798.317353138012
7.5,1054.3164683308105
8.0,1320.6352677923066
8.5,1580.3013970713941
9.0,1817.492145854519
9.5,2020.181746683805
10.0,2181.8769692266014
10.5,2301.981876801082
11.0,2384.801055445856
11.5,2437.6454656246133
12.0,2468.7387881199347
12.5,2485.548795153366
13.0,2493.8679592672324
13.5,2497.6223332737036
14.0,2499.1613434302435
14.5,2499.732115984924
15.0,2499.922859727742
15.5,2499.9800643910776
16.0,2499.995397073259
16.5,2499.99905477089
17.0,2499.999828137617
17.5,2499.999972457235
18.0,2499.9999961268936
18.5,2499.99999952425
19.0,2499.9999999491833
19.5,2499.999999995301
20.0,2499.9999999996257
20.5,2499.9999999999745
21.0,2499.9999999999986
21.5,2500.0
22.0,2500.0
22.5,2500.0
23.0,2500.0
23.5,2500.0
24.0,2500.0
24.5,2500.0
25.0,0.0
